Date,iShares Edge MSCI World Momentum Factor UCITS ETF (Acc)
1994-05,100
1994-06,100
1994-07,97.00079760522048
1994-08,100.23906466695601
1994-09,96.52162870826302
1994-10,97.93072367815004
1994-11,93.22994076512849
1994-12,95.6362268377648
1995-01,90.47785200912507
1995-02,90.22682826699622
1995-03,91.93626858935885
1995-04,94.14138832031712
1995-05,95.88859472463062
1995-06,97.62841148179545
1995-07,100.1868557241199
1995-08,102.56089809364885
1995-09,108.91266433924193
1995-10,108.49528954497838
1995-11,112.2740893900263
1995-12,115.68884277825626
1996-01,120.58295112305925
1996-02,122.98278752989283
1996-03,124.35373569727189
1996-04,126.64640336494732
1996-05,130.7607203286893
1996-06,132.5612694882038
1996-07,125.39834301910078
1996-08,125.82279733482525
1996-09,132.64476115799368
1996-10,134.18200157108535
1996-11,140.1754979389548
1996-12,141.81764924378157
1997-01,152.32087486610465
1997-02,159.48893550470893
1997-03,157.74251325109913
1997-04,168.20357654465394
1997-05,176.40650783241216
1997-06,188.36635185265624
1997-07,208.26932515942104
1997-08,196.6554782745623
1997-09,206.77593037399532
1997-10,192.56349035592987
1997-11,192.26257649567458
1997-12,202.6314576341463
1998-01,213.21493836540017
1998-02,226.68804479347466
1998-03,242.73994225697774
1998-04,246.6668454902379
1998-05,243.07588697793534
1998-06,254.20123146570955
1998-07,265.06948881012596
1998-08,223.35747444216324
1998-09,211.79749695134458
1998-10,218.9193559037895
1998-11,241.29093655977323
1998-12,262.69663866579566
1999-01,284.0744350020376
1999-02,282.5458559879759
1999-03,298.9353700162907
1999-04,301.1875262006504
1999-05,295.60040485695646
1999-06,321.3735683368968
1999-07,309.2899388438862
1999-08,311.63047036607486
1999-09,310.58606210473425
1999-10,338.1367813327236
1999-11,375.88127001799927
1999-12,446.35234141706565
2000-01,429.1428653208284
2000-02,468.26111533460204
2000-03,493.53837974165714
2000-04,481.6909628929313
2000-05,434.7140505152077
2000-06,446.88035364600563
2000-07,443.2386766013108
2000-08,487.93526987247424
2000-09,441.0735665585206
2000-10,432.6880513313302
2000-11,404.2743639153221
2000-12,389.6237439659391
2001-01,372.79547843595515
2001-02,356.4998550764851
2001-03,351.95768839922806
2001-04,366.8043217096118
2001-05,383.45388690192624
2001-06,377.2877461905811
2001-07,360.4156695372693
2001-08,339.47535112364835
2001-09,311.45153761946335
2001-10,306.6162812816471
2001-11,318.13434784727855
2001-12,326.20729681443805
2002-01,330.0869160361595
2002-02,328.7251100018633
2002-03,339.68166411066306
2002-04,328.30668587038883
2002-05,318.64311267860444
2002-06,288.31730525525455
2002-07,275.1774153222659
2002-08,274.99976122846476
2002-09,261.17437659487416
2002-10,259.60849564192387
2002-11,256.0343740557523
2002-12,233.98706740326702
2003-01,220.55246052690632
2003-02,220.22327909301836
2003-03,218.5258590018714
2003-04,228.14759006211517
2003-05,224.63048256035847
2003-06,234.54577075524537
2003-07,240.1068510415505
2003-08,252.12051673432993
2003-09,239.0042840653266
2003-10,253.4537631410183
2003-11,248.42665477154281
2003-12,243.89990048166152
2004-01,251.5223264432821
2004-02,255.76891085834257
2004-03,269.8478524478765
2004-04,266.9115474095759
2004-05,264.20408431650156
2004-06,273.49689112249223
2004-07,264.5848346722789
2004-08,266.39147499388105
2004-09,268.4408641701707
2004-10,266.2255316818614
2004-11,273.8113598978861
2004-12,273.5066591920975
2005-01,282.2841988827779
2005-02,299.8999291034543
2005-03,300.02724929479336
2005-04,287.6586008584585
2005-05,311.34593052456455
2005-06,331.12945055620906
2005-07,345.5266494721641
2005-08,353.38024968095425
2005-09,375.53403143595375
2005-10,360.5941581918918
2005-11,381.04000741131665
2005-12,404.15086224045467
2006-01,423.1685965349167
2006-02,421.6071515778995
2006-03,428.13516388888854
2006-04,427.6720657034254
2006-05,391.90733519270077
2006-06,394.35697493717987
2006-07,390.9304815757511
2006-08,389.54730007951173
2006-09,392.94991170693606
2006-10,415.7209852900887
2006-11,414.9767817686413
2006-12,429.7789731281218
2007-01,444.2473905841879
2007-02,434.5656685532161
2007-03,444.6812679039877
2007-04,451.7794042418427
2007-05,472.00639696525667
2007-06,467.18863826005656
2007-07,458.3944616346024
2007-08,452.8633060758321
2007-09,472.87561666000465
2007-10,485.16727254588596
2007-11,454.5786981415634
2007-12,459.66368038326056
2008-01,406.93264310475837
2008-02,406.3943002529106
2008-03,384.63213094960224
2008-04,417.63683663891715
2008-05,430.7755205872655
2008-06,416.48945816346384
2008-07,386.0029214669809
2008-08,399.03552933033274
2008-09,342.4210781287524
2008-10,331.5740384998829
2008-11,309.3576002040332
2008-12,291.20670712551185
2009-01,288.5278701680832
2009-02,262.35708892102986
2009-03,262.949041310615
2009-04,274.8912116921354
2009-05,272.7688056585749
2009-06,269.3957695799332
2009-07,291.3369316068503
2009-08,294.17398521350896
2009-09,299.3748915939523
2009-10,292.3935962641297
2009-11,300.22376339725685
2009-12,321.8838635402324
2010-01,310.3259898558879
2010-02,328.2256966956551
2010-03,354.0550903162145
2010-04,363.09752515018897
2010-05,357.27637273051926
2010-06,344.58011059024363
2010-07,350.36817860418535
2010-08,343.8435901964178
2010-09,356.6778682894235
2010-10,367.0467236286416
2010-11,393.07546153125213
2010-12,403.2584069599522
2011-01,396.3961989691989
2011-02,406.74547637252067
2011-03,401.0581037731162
2011-04,403.4998098482153
2011-05,410.0182347463684
2011-06,404.6439898040108
2011-07,404.57038847117434
2011-08,377.1748361853764
2011-09,385.1341970098933
2011-10,396.0257079421077
2011-11,413.2439855630802
2011-12,435.0771391254052
2012-01,433.2805229481541
2012-02,443.97801501685575
2012-03,461.25650626260557
2012-04,470.39026078477156
2012-05,478.51171061686927
2012-06,490.9856510358487
2012-07,512.8188964749689
2012-08,506.4516630331599
2012-09,505.08646654469885
2012-10,491.86628232728845
2012-11,498.0013321702283
2012-12,488.30256428325384
2013-01,495.28340826115436
2013-02,519.1640892542912
2013-03,554.4664766503607
2013-04,560.1958743670373
2013-05,556.138212794931
2013-06,555.6047923686297
2013-07,565.5603164132182
2013-08,550.7276359572702
2013-09,572.697354499589
2013-10,583.6390894404414
2013-11,597.8850481523712
2013-12,606.8361988723328
2014-01,602.0068329994086
2014-02,622.8018330820022
2014-03,606.3729825833346
2014-04,596.7990924770072
2014-05,629.4435296752092
2014-06,640.5873864681068
2014-07,640.679983658813
2014-08,670.5887032681454
2014-09,688.8211442624035
2014-10,697.8897055751945
2014-11,722.614575046437
2014-12,735.605852773258
2015-01,788.466685989192
2015-02,834.4058872069768
2015-03,864.4910517472101
2015-04,831.950901446053
2015-05,867.3684344434567
2015-06,836.5661553029175
2015-07,881.0291590285972
2015-08,804.5307749997553
2015-09,775.9398001243438
2015-10,843.5501401394989
2015-11,879.6913174667579
2015-12,855.0359656789361
2016-01,815.7029029507671
2016-02,807.5571992565841
2016-03,815.0366909056651
2016-04,815.2445154191819
2016-05,850.5547392221172
2016-06,878.3210807857948
2016-07,901.6741261488177
2016-08,875.768676519409
2016-09,879.9151293820171
2016-10,870.5140779739975
2016-11,900.4583857538668
2016-12,922.2713509386697
2017-01,936.1916066727562
2017-02,972.8911334547689
2017-03,985.0583486350687
2017-04,981.7013768394133
2017-05,996.9583506866317
2017-06,982.5904373643045
2017-07,985.6692452017012
2017-08,991.9175020032758
2017-09,1018.8705971475569
2017-10,1080.6839190845985
2017-11,1081.461590267198
2017-12,1071.6098033236137
2018-01,1114.8224903929656
2018-02,1118.7219027625595
2018-03,1072.835603974522
2018-04,1105.7900170516443
2018-05,1174.5767481393782
2018-06,1174.4425388805944
2018-07,1192.533693861008
2018-08,1255.5817336469383
2018-09,1275.917479816523
2018-10,1176.0934887257379
2018-11,1188.7955043958211
2018-12,1092.435410662453
2019-01,1158.3620734482274
2019-02,1208.6900961862564
2019-03,1260.3491771656113
2019-04,1303.1478516571062
2019-05,1263.8492189226429
2019-06,1316.8259784638387
2019-07,1357.4511388707358
2019-08,1372.6416491294656
2019-09,1379.9358825849959
2019-10,1363.825443795828
2019-11,1421.3297290623657
2019-12,1423.916920734849
2020-01,1485.492913449559
2020-02,1388.3559714183057
2020-03,1249.4225141990253
2020-04,1387.7738904949333
2020-05,1433.6956945665731
2020-06,1491.6078123947584
2020-07,1503.665757619845
2020-08,1607.4033787438384
2020-09,1586.368919694405
2020-10,1531.1460461156905
2020-11,1642.7516574964932
2020-12,1672.8092301133754
2021-01,1705.0480677985656
2021-02,1696.0983882918488
2021-03,1757.6794258926752
2021-04,1821.4973027692822
2021-05,1784.9608729991835
2021-06,1853.3867930303527